Date,Arbitrum ($),zkSync Era ($),Base ($),Blast ($),OP Mainnet ($)
2022-09-20,4616.14,,,,-19286.69
2022-09-21,9550.13,,,,-24007.79
2022-09-22,6197.82,,,,-51681.34
2022-09-23,5377.93,,,,-79996.32
2022-09-24,5242.19,,,,-16811.22
2022-09-25,5285.74,,,,-52725.84
2022-09-26,5881.31,,,,-49584.75
2022-09-27,5678.17,,,,-22256.93
2022-09-28,7252.27,,,,-34793.09
2022-09-29,5192.40,,,,-121920.17
2022-09-30,5253.50,,,,-350861.83
2022-10-01,5169.60,,,,-25032.86
2022-10-02,5575.26,,,,-31521.61
2022-10-03,4877.39,,,,-928152.88
2022-10-04,5269.06,,,,-21205.52
2022-10-05,6726.28,,,,-158099.80
2022-10-06,6921.57,,,,-864484.50
2022-10-07,6901.19,,,,-40889.19
2022-10-08,3963.34,,,,-47465.49
2022-10-09,4215.80,,,,-16809.69
2022-10-10,4041.74,,,,-26058.38
2022-10-11,4505.04,,,,-23412.60
2022-10-12,4323.13,,,,-42021.00
2022-10-13,5463.68,,,,-34120.04
2022-10-14,5179.10,,,,-30667.56
2022-10-15,4228.04,,,,-34559.47
2022-10-16,4686.07,,,,-17878.98
2022-10-17,4968.20,,,,-14985.57
2022-10-18,5532.96,,,,-15615.71
2022-10-19,8183.58,,,,-1099392.05
2022-10-20,7298.14,,,,-25133.58
2022-10-21,5337.74,,,,-280236.36
2022-10-22,5521.66,,,,-23360.16
2022-10-23,6742.56,,,,-48353.64
2022-10-24,7727.61,,,,-78223.13
2022-10-25,8279.37,,,,-105926.67
2022-10-26,10752.65,,,,-55325.42
2022-10-27,13016.93,,,,-27074.45
2022-10-28,11591.51,,,,-95692.16
2022-10-29,12086.36,,,,-5849.97
2022-10-30,11487.78,,,,-11638.12
2022-10-31,10087.71,,,,-146117.03
2022-11-01,12159.89,,,,-5539409.84
2022-11-02,11570.09,,,,-38296.81
2022-11-03,9037.59,,,,-25795.51
2022-11-04,10558.48,,,,-495189.99
2022-11-05,10483.36,,,,-2574.66
2022-11-06,10837.13,,,,-397398.85
2022-11-07,12070.80,,,,7778.88
2022-11-08,-15134.81,,,,33890.39
2022-11-09,-6148.00,,,,-33233.30
2022-11-10,5625.78,,,,-1577.72
2022-11-11,10957.54,,,,15916.80
2022-11-12,9177.16,,,,5690.45
2022-11-13,8465.19,,,,5395.37
2022-11-14,8380.71,,,,2741.95
2022-11-15,8418.92,,,,4835.42
