Date,Liquity ($),Abracadabra.money ($),Reflexer ($),Angle ($),Origin DeFi ($),Vesta Finance ($),MakerDAO ($)
9/1/2022,13929.53,9919.28,487.74,93096.1,16.99,501.93,0
9/2/2022,6761.2,7444.77,718.02,0,355.31,85.51,0
9/3/2022,15644.12,9455.38,1949.68,0,215.56,145.69,0
9/4/2022,37304.16,6912.39,0,0,73.57,518.84,0
9/5/2022,17223.49,7711.53,4617.27,0,527.52,375.76,0
9/6/2022,29214.26,5799.57,111.16,0,67.47,2312.55,0
9/7/2022,7043.79,8161.41,0,0,106.57,1474.63,0
9/8/2022,24505.5,7500.18,207.69,80528.39,281.77,1052.32,0
9/9/2022,11642.15,7227.59,3540.3,0,939.82,550.37,0
9/10/2022,17249.27,11129.81,669.25,0,2717.52,3116.4,0
9/11/2022,11375.28,7166.3,7388.53,0,806.88,867.44,0
9/12/2022,8400.09,10644.84,5742.31,0,2940.28,639.73,0
9/13/2022,37489.34,9014.5,270.12,0,2083.62,121.05,0
9/14/2022,18919.92,6939.88,186.3,0,638.54,269.27,0
9/15/2022,9058.64,5378.14,25.52,87939.9,11683.27,233.83,0
9/16/2022,8992.07,8633.17,47.42,0,307.98,184.97,0
9/17/2022,40417.84,5781.08,494.83,0,823.45,237.67,0
9/18/2022,4861.69,5213.07,38.53,0,1259.28,577.08,0
9/19/2022,13022.89,13189.46,4.16,0,437.9,357.89,0
9/20/2022,4550.08,7341.48,1802.85,0,304.98,34.62,0
9/21/2022,6722.91,5527.89,1192.46,0,375.52,128.41,0
9/22/2022,3903.17,5219.06,0,71895.61,2701.74,95.9,0
9/23/2022,9288.99,3754.47,0,0,411.04,54.21,0
9/24/2022,6652.87,5644.55,97.06,0,2427.57,95.14,0
9/25/2022,23536.7,3704.28,0,0,1439.45,537.86,0
9/26/2022,20849.09,10496.51,42.97,0,64.24,359.87,0
9/27/2022,8178.73,4431.62,0,0,7591.48,108.57,0
9/28/2022,27599.42,4178.68,16218.54,0,30.35,177.59,0
9/29/2022,10201.38,8165.78,51815.18,60192.17,877.29,0.14,0
9/30/2022,10556.39,8872.46,8826.11,0,3530.05,81.37,0
10/1/2022,3274.38,5460.99,8090.36,0,1890.56,596.91,0
10/2/2022,5831.62,4764.56,3225.26,0,450.28,1060.08,0
10/3/2022,19948.8,9963.59,523.64,0,23.09,576.06,0
10/4/2022,35147.23,4289.15,10473.1,0,124.99,227.78,0
10/5/2022,9835.82,6633.34,91.18,0,2210.74,190.66,0
10/6/2022,5952.84,8924.09,698.45,64840.1,1762.96,125.07,0
10/7/2022,7841.56,7412.32,298.38,0,278.7,418.45,0
10/8/2022,8206.11,6459.98,0,0,1588.66,15.7,0
