Date,MakerDAO ($),Ethena ($),Abracadabra.money ($),Vesta Finance ($),Origin DeFi ($),Reflexer ($),Liquity ($)
8/26/2022,47585.13,,7771.28,-151.18,-148.23,-3352.08,-1091.81
8/27/2022,53584.88,,-6324.4,6135.12,-46654.72,-412.84,-66813.95
8/28/2022,33656.16,,8211.95,224.43,54.56,943.79,-6267.01
8/29/2022,-137896.44,,-2362.33,1515.93,-531.9,-623.09,-3586.13
8/30/2022,-599837.32,,6913.81,-652.93,-4776.92,252.2,-11682.1
8/31/2022,-173010.11,,-7712.54,-1535.08,-1237649.39,-8636.06,-1933.73
9/1/2022,17251.16,,10048.61,-491.29,121.65,453.92,-11934.07
9/2/2022,415784.56,,-3327.1,1028.53,-230.31,223.67,-5448.28
9/3/2022,37115.86,,6250.35,-122.05,-76.34,-1012.41,-15291.36
9/4/2022,-257403.8,,-2211.48,-290.55,56.21,937.28,-32259.19
9/5/2022,-43933.47,,8213.51,-75.91,-405.47,-3678.12,-13878.81
9/6/2022,95994.19,,-2772.07,-2238.93,47.84,875.75,-28528.75
9/7/2022,-59437.71,,7306.48,-1405.77,1.99,946.32,-5203.85
9/8/2022,761039.78,,-5231.44,-883.68,-172.57,755.3,-23742.8
9/9/2022,-37541.27,,9596.59,-487.2,-836.32,-2634.49,-9881.33
9/10/2022,-46666.33,,-6798.09,-1600.59,-2614.62,250.79,-15259.6
9/11/2022,30088.98,,8832.29,-730.57,-703.12,-6467.48,-5358.43
9/12/2022,-600823.84,,-5308.08,-288.71,-2842.39,-4821.69,-125.91
9/13/2022,-144971.99,,6495.08,688.55,-1977.96,645.66,-36788.06
9/14/2022,40088.61,,-3109.95,-68.92,-363.67,716.77,-14294.64
9/15/2022,27810.24,,12868.17,2126.37,-11310.22,845.98,2011.97
9/16/2022,31756.89,,8563.86,837.26,-234.5,827.91,-4961.53
9/17/2022,25074.46,,6093.14,1085.53,599.93,379.83,-38851.11
9/18/2022,-57191.42,,-1645.84,21.29,-1148.66,836.44,-3949.95
9/19/2022,-28166.12,,1372.28,890.58,-329.19,860.95,15077.89
9/20/2022,-178978.94,,-4715.24,2922.94,-194.86,-938.29,-1468.21
9/21/2022,42134.22,,9864.95,692.63,-265.35,-331.69,-3766.88
9/22/2022,33472.28,,-516.1,538.8,-2594.86,855.17,-2652.51
9/23/2022,-609632.05,,11186.8,870.74,-326.14,853.44,-8763.74
9/24/2022,14945.41,,-708.88,707.87,-2339.96,755.28,-4389.55
9/25/2022,27574.05,,12310.63,283.51,-1351.31,856.06,-22787.3
9/26/2022,25021.35,,-1021.71,536.22,24.8,814.25,-16318.1
9/27/2022,34111.34,,11582.56,920.88,-7488.89,854.56,-6560.8
9/28/2022,-569017.35,,-1582.9,653.13,85.2,-15366.12,-26045.52
9/29/2022,-1243312.19,,7626.44,1275.85,-760.47,-50961.14,-1828.57
9/30/2022,-24955,,-4881.3,2139.63,-3416.91,-7970.99,-4255.97
10/1/2022,-833451.04,,8723.68,5486.06,-1776.8,-7242.24,-3025.28
10/2/2022,18897.73,,-4626.09,56.37,-336.32,-2382.78,35090.44
10/3/2022,30963.23,,7666.68,1963.72,82.63,322.44,-13841.77
10/4/2022,-114635.19,,-227.16,2632.57,-19.95,-9627.49,-33384.75
10/5/2022,-6190.46,,7415.41,2286.94,-2114.09,752.6,-6492.86
10/6/2022,-8968.73,,-7578.44,1470.72,-1667.83,145.11,34026.08
10/7/2022,388742.47,,9433.52,375.37,-87.66,543.95,-6465.35
10/8/2022,5295.29,,-6334.19,1250.16,-1465.51,842.01,-7361.73
10/9/2022,36083.9,,13089.52,336.04,219.11,844.02,-3960.87
10/10/2022,-528089.6,,-6105.66,984.15,200.57,-5777.02,-3367.91
10/11/2022,-78952.94,,13183.42,546.53,-399.23,748.06,-3652.35
10/12/2022,-23693.6,,-7231.25,649.32,389.43,802.83,-11463.13
10/13/2022,31923.31,,7025.61,725.59,-339.66,-150.46,-1811.35
10/14/2022,4627.65,,-374.57,833.95,-229.22,825.45,-21539.83
10/15/2022,7846.96,,13764.96,379.35,-1642.62,682.97,-21698.73
10/16/2022,-94702.31,,-4863.63,409.04,-981.16,-2484.74,-10909.06
10/17/2022,21644.73,,14102.08,1016.07,-806.17,740.47,-20849.66
10/18/2022,2648.68,,426.33,1826.71,59.91,835.78,-14049.58
10/19/2022,25555.5,,-4698.25,514.36,-12275.22,687.48,-3569.96
10/20/2022,11393.1,,-448.45,-4658.01,-183.07,833.53,615.89
10/21/2022,42909.49,,-2764.4,367.31,178.6,-400.68,-6970.11
10/22/2022,-2232.24,,633.43,626.64,0,837.29,-5410.4
10/23/2022,32679.32,,8619.14,620.62,253.12,-157.36,-31144.68
10/24/2022,43627.57,,34089.35,1008.6,251.82,123.84,-16916.5
10/25/2022,30426.67,,11979.19,2271.57,191.5,-47231.53,-6563.61
10/26/2022,14639.1,,-209.65,1806.57,166.67,-24521.71,102.67
10/27/2022,-50493.26,,1855.49,-4263.4,-68.26,-3601.03,-11486.73
10/28/2022,-153259.92,,-1679.54,333.76,78.64,163.44,-1431.78
10/29/2022,-573704.1,,10931.74,410.15,56.36,811.66,-2406.6
