Date,Helium ($),Worldcoin ($),The Graph ($),Pocket Network ($),Livepeer ($),Kleros ($)
9/9/2023,41504.93,33925.09,26070.71,5100.61,58161.25,0
9/10/2023,40454.61,53576.44,5727.99,4170.78,58133.24,209.98
9/11/2023,41215.9,814459.94,233115.55,3982.32,53442.92,426.6
9/12/2023,38944.79,430954.91,28413.66,3594.64,53597.02,0
9/13/2023,40605.12,92827.49,104276.13,3839.7,53690.96,0
9/14/2023,40702.71,66430.72,118060.88,3827.32,52835.01,116.38
9/15/2023,40324.03,69579.15,30232.19,3630.44,107642.41,15.46
9/16/2023,40245.84,47906.3,15817.22,3985.03,54244.77,0
9/17/2023,40859.12,53905.65,87630.89,4053.75,51033.51,125.88
9/18/2023,38848.38,88009.36,71118.54,4866.41,49225.59,0
9/19/2023,40419.25,44392.15,142465.33,6491.01,51962.55,0
9/20/2023,41731.83,48955.39,152474.21,10698.79,52871.09,13.96
9/21/2023,40494.83,43041.6,15701.04,9998.64,50394.15,0
9/22/2023,43268.47,46333.23,144383.03,7058.19,51532.34,9.61
9/23/2023,43171.05,40278.08,42785.9,5931.3,51965.44,74.11
9/24/2023,41883.88,63897.23,30215.49,5527.37,100105.19,0
9/25/2023,41857.09,1276113.74,81026.75,4997.84,53632.88,0
9/26/2023,41321.96,758977.29,83187.34,4222.78,50487.09,88.41
9/27/2023,42521.26,208165.37,166149.87,4548.74,52440.64,2586.55
9/28/2023,41875.78,130091.49,96245.07,3747.55,51646.51,541.72
9/29/2023,42094.46,89345.68,55402.57,4465.68,51957.89,16733.2
9/30/2023,42056.54,69409.67,45502.22,4030.63,51315.62,1567.09
10/1/2023,41786.76,64203.29,51035.21,4223.27,62074.19,14767.31
10/2/2023,43312.23,98305.84,61768,4622.16,120845.86,0
10/3/2023,43368.88,55494.52,43093.4,6090.67,57127.05,248.9
10/4/2023,41949.34,48103.54,55115.44,5907.72,57105.27,528.41
10/5/2023,40412.68,94364.64,71501.68,7240.45,53937.08,30.26
10/6/2023,40090.14,169580.96,66933.69,8798.11,57818.72,0
10/7/2023,41645.35,164027.9,19709.64,5924.05,56887.81,0
10/8/2023,41461.4,129892.75,161819.96,7478.6,57332.48,93.73
10/9/2023,41341.65,853633.93,62238.06,7917.98,55864.07,12.04
10/10/2023,41250.33,559195.02,16445.02,5329.47,107959.29,128.91
10/11/2023,41241.5,403413.35,74949.31,5765.94,58261.11,0
10/12/2023,41167.53,344127.31,73243.89,5346.3,50532.12,978.42
10/13/2023,40981.48,215771.58,97120.38,6354.61,49317.47,10.24
10/14/2023,42608.19,122513.44,13251.61,5457.01,49262.52,143.3
10/15/2023,41275.89,104675.93,12124.44,6596.79,49358.4,0
10/16/2023,41228.71,88135.48,109426.57,8846.02,50298.93,0
10/17/2023,43300.34,68538.16,117162.52,5939.08,46082.61,13.61
10/18/2023,42089.22,58686.61,39674.56,5698.51,48853.39,0
10/19/2023,41492.11,38660.21,19768.85,5322.43,91230.78,0
10/20/2023,41712.79,50521.11,6316.03,5538.52,48505.26,0
10/21/2023,41787.45,50796.54,12332.73,4411.25,53656.72,0
10/22/2023,43633.7,55323.3,40147.92,4668.06,49939.15,2381.41
10/23/2023,41880.45,1162122.34,129363.29,5535.81,53262.53,247.38
10/24/2023,43479.69,444918.06,188151.74,4391.62,54890.76,0
10/25/2023,44438.77,493971.19,43747.76,3464.05,54796.78,0
10/26/2023,44418.43,368486.15,9894.72,2983.5,55203.91,0
10/27/2023,44924.77,125085.19,50146.04,3245.13,108087.51,0
10/28/2023,43010.99,65623.14,10932.48,3190.29,58209.88,0
10/29/2023,43071.81,102793.12,29003.76,3541.79,58973.33,0
10/30/2023,43404.12,66183.73,248999.33,4211.12,57542.95,627.49
10/31/2023,45940.41,138259.01,100684.55,5973.09,56321.25,0
11/1/2023,42959.5,80017.18,89107.19,6064.21,59095.26,0
11/2/2023,42850.35,353377.99,85973.11,2838.43,59493.13,196.64
11/3/2023,44206.36,159093.38,55775.14,2946.34,59535.44,120.86
11/4/2023,47739.22,191276.8,181761.95,2828.42,118873.72,222.92
