Date,Livepeer (#),Chainlink (#),Worldcoin (#),The Graph (#),Ethereum Name Service (#),Gitcoin (#),Render Network (#),UMA (#),Aragon (#),Kleros (#),Tornado Cash (#),Bounce Finance (#),Arkham (#),Instadapp (#)
2021-06-02,2544140.00,538146.00,,60801.00,,14328.00,4187.00,14109.00,9086.00,8896.00,6462.00,2099.00,,1.00
2021-06-03,2544072.00,538169.00,,60987.00,,14347.00,4193.00,14117.00,9093.00,8907.00,6409.00,2094.00,,1.00
2021-06-04,2543973.00,538447.00,,61132.00,,14437.00,4196.00,14168.00,9104.00,8899.00,6429.00,2096.00,,1.00
2021-06-05,2543866.00,538321.00,,61224.00,,14978.00,4195.00,14167.00,9140.00,8897.00,6428.00,2093.00,,1.00
2021-06-06,2543610.00,538759.00,,61368.00,,15425.00,4201.00,14158.00,9139.00,8903.00,6451.00,2086.00,,1.00
2021-06-07,2543473.00,539498.00,,61506.00,,15475.00,4191.00,14157.00,9150.00,8911.00,6457.00,2085.00,,1.00
2021-06-08,2543374.00,539416.00,,61625.00,,15720.00,4188.00,14166.00,9218.00,8899.00,6455.00,2088.00,,1.00
2021-06-09,2542924.00,540217.00,,61749.00,,16365.00,4196.00,14194.00,9233.00,8891.00,6460.00,2091.00,,1.00
2021-06-10,2542829.00,540937.00,,61822.00,,17171.00,4192.00,14239.00,9238.00,8899.00,6462.00,2147.00,,1.00
2021-06-11,2542769.00,541434.00,,61924.00,,17027.00,4187.00,14233.00,9218.00,8901.00,6739.00,2152.00,,1.00
2021-06-12,2542655.00,541988.00,,62027.00,,17048.00,4184.00,14241.00,9213.00,8895.00,6726.00,2144.00,,1.00
2021-06-13,2542543.00,542278.00,,62064.00,,17161.00,4195.00,14249.00,9226.00,8889.00,6744.00,2141.00,,1.00
2021-06-14,2542418.00,543047.00,,62247.00,,17277.00,4190.00,14262.00,9239.00,8896.00,6737.00,2147.00,,52.00
2021-06-15,2542352.00,543651.00,,62337.00,,17346.00,4200.00,14299.00,9254.00,8888.00,6742.00,2149.00,,53.00
2021-06-16,2542248.00,543908.00,,62470.00,,17496.00,4200.00,14309.00,9241.00,8877.00,6743.00,2156.00,,380.00
2021-06-17,2542185.00,543810.00,,62629.00,,17599.00,4207.00,14314.00,9252.00,8878.00,6596.00,2125.00,,1060.00
2021-06-18,2542093.00,544462.00,,62471.00,,17685.00,4209.00,14322.00,9255.00,8878.00,6593.00,2121.00,,1379.00
2021-06-19,2541985.00,545071.00,,62575.00,,17423.00,4231.00,14320.00,9268.00,8872.00,6588.00,2118.00,,1651.00
2021-06-20,2541897.00,545359.00,,62605.00,,17482.00,4117.00,14340.00,9288.00,8870.00,6587.00,2118.00,,1804.00
