Date,Aave ($),Compound ($),Venus ($),BENQI ($),Morpho ($),Spark Protocol ($),TrueFi ($),Radiant Capital ($),Goldfinch ($),Euler ($),Fraxlend ($),Sonne Finance ($),Maple Finance ($),Gearbox ($),Silo Finance ($),BendDAO ($),Shoebill Finance ($)
2022-05-23,4817616796.23,1377051205.14,422271227.43,129002139.41,,,450748526.77,,102234563.33,206162271.22,,,,4063574.25,,38119000.78,
2022-05-24,4903351961.88,1377121029.94,427248726.74,123732741.12,,,450796724.94,,102235368.48,207531687.79,,,,4063596.27,,38891022.41,
2022-05-25,4820280894.57,1361991414.15,434394525.71,115333942.57,,,450880473.00,,102284826.49,220193474.89,,,,4039398.97,,38591850.63,
2022-05-26,4446402479.24,1318523030.10,427062517.91,108413156.52,,,451020982.01,,102321981.32,215875945.43,,,,3964542.58,,35950543.14,
2022-05-27,4283781724.54,1300323892.05,419306627.37,106085617.94,,,450801201.95,,102241628.40,194448915.49,,,,3914678.95,,34870201.26,
2022-05-28,4214370467.36,1280403854.45,423291270.06,104462768.36,9.99,,451249513.90,,102315044.17,201064558.33,,,,3949252.96,,36470144.29,
2022-05-29,4207802883.66,1254598179.61,424181200.56,106203902.13,1180.24,,451047894.71,,102247166.67,202669162.18,,,,3961912.50,,36753313.60,
2022-05-30,4402596936.04,1278900698.82,435469919.92,112327855.34,4387.65,,451183703.47,,102285438.77,210078345.08,,,,3972504.56,,40532460.15,
2022-05-31,4429070817.69,1286937702.23,430324333.20,114825427.94,5847.97,,451079519.37,,102242058.23,207868000.74,,,,3957518.53,,39399633.16,
2022-06-01,5179594185.10,1287520200.83,416598658.21,91798318.21,477928.65,,451101502.64,,102244033.63,199607482.61,,,,3921292.17,,36943012.69,
2022-06-02,5883346789.72,1290032496.15,422098877.48,96168185.87,694634.23,,451141261.74,,102270820.32,203094288.85,,,,3931919.48,,37381415.92,
2022-06-03,6304146279.04,1288345556.54,422042542.34,95500324.23,4322254.44,,451083498.73,,102248919.73,208242879.94,,,,3912744.44,,36386008.84,
2022-06-04,6471875738.95,1290333256.18,411405325.18,103039866.17,4329790.06,,451183194.96,,102260588.12,220778500.19,,,,3879053.14,,36924652.02,
2022-06-05,6483255982.32,1288614624.56,408425820.03,100305997.26,4331615.01,,451146315.23,,102260588.12,229028536.80,,,,3879271.93,,37138302.83,
2022-06-06,6629199185.78,1286848923.24,412489232.00,107293510.92,4334932.60,,461181337.25,,102247567.36,226868329.70,,,,3922726.21,,38123656.93,
2022-06-07,6806137815.53,1265235838.81,411829750.92,107516645.83,4316689.68,,461195447.35,,102290040.69,232624483.56,,,,3594658.82,,36950892.51,
2022-06-08,6930348693.73,1202672185.68,410446055.04,108578372.87,4328449.55,,461334182.98,,102348836.48,295252964.99,,,,3589371.61,,36539954.92,
