Date,dYdX ($),Synthetix ($),GMX ($),Level Finance ($),Vertex ($),Lyra ($),ApolloX ($),Pendle ($),HMX ($),Perpetual Protocol ($),Kwenta ($),Mummy Finance ($),IPOR Protocol ($),Premia ($),Thales ($),Metavault.Trade ($),MUX ($),Pika Protocol ($),Holdstation ($),Buffer Finance ($)
5/6/2022,116368.14,251829.19,25814.26,,,24259.83,3307.33,,,133.35,,,,16366.79,2399.39,,0,,,
5/7/2022,27441.62,47481.99,13520.86,,,14746.46,121752.54,,,16.02,,,,1366.32,135.7,,0,,,
5/8/2022,8332.52,92145.86,11245,,,10582.05,2339.94,,,6574.84,,,,1957.19,1322.58,,0,,,
5/9/2022,59761.79,1138171.93,46452.75,,,8245.71,1927.65,,,19039.75,,,,24942.49,3159.32,,0,,,
5/10/2022,147931.51,48280.92,141898.68,,,8271.05,35569.9,,,5535.73,,,,974.99,1218.26,,0,,,
5/11/2022,41668.54,1287193.72,12026.82,,,7561.59,1680.06,,,7943.72,,,,460.05,1268.57,,0,,,
5/12/2022,433946.11,264192.84,17802.72,,,3358.03,84256.72,,,3799.45,,,,3049.06,846.47,,13.94,,,
5/13/2022,76613.31,97656.34,9635.85,,,14037.63,34479.85,,,0,,,,4962.96,1279.67,,0.67,,,
5/14/2022,25232.34,1134985.15,15834.57,,,5356.39,828.44,,,80.02,,,,74.81,667.49,,2.19,,,
5/15/2022,55130.05,1536054.24,172738.9,,,5017.88,50283.53,,,1108.1,,,,1312.54,721.36,,0.07,,,
5/16/2022,25241.24,74999.21,20079.62,,,10576.12,38926.76,,,1607.62,,,,4945.3,900.27,,0,,,
5/17/2022,199075.61,1275507.21,21030.98,,,5834.31,3250.52,,,313.56,,,,322.72,140.86,,1.2,,,
5/18/2022,1063227.99,1620075.33,9273.56,,,7078.14,156053.6,,,4773.13,,,,495.95,6303.51,,0,,,
5/19/2022,2204227.32,395152.62,27798.63,,,23012.77,2005.49,,,894.78,,,,662.86,1558.83,,0,,,
5/20/2022,780190.94,82221.07,9215.37,,,25588.72,2600.59,,,696.95,,,,11453.44,282.79,,0,,,
5/21/2022,84833.49,84109.03,11329.47,,,9811.63,494.59,,,0.53,,,,1465.91,442.51,,0,,,
5/22/2022,215363.01,396099.19,8807.63,,,6095.8,58071.83,,,55.1,,,,996.43,333.12,,0,,,
5/23/2022,2362007.76,145931.92,18916.62,,,762.55,7747.96,,,11205.7,,,,8313.63,179.62,,0,,,
5/24/2022,221881.96,240420.9,6851.2,,,19534.25,666.18,,,1972.86,,,,4776.19,12.08,,0,,,
5/25/2022,233903.45,2908896.02,25843.16,,,2911.73,35699.82,,,919.48,,,,3272.99,947.78,,7.6,,,
5/26/2022,27894.25,1497224.5,16143.47,,,8743.31,49611.43,,,13.94,,,,156.26,1842.3,,0,,,
5/27/2022,31436.8,120588.36,13049.32,,,12117.91,2719.43,,,14.66,,,,4313.88,1952.78,,0.13,,,
5/28/2022,12803.05,35020.25,133835.12,,,4829.12,1925.19,,,70.57,,,,642.13,389.33,,0,,,
5/29/2022,7400,83778.67,15120.55,,,2366.43,976.75,,,1087.01,,,,995.59,379.7,,0,,,
5/30/2022,175050.09,5470676.62,23774.26,,,7985.68,1255.15,,,12085.31,,,,427.39,966.4,,0,,,
5/31/2022,146862.23,64756.41,35306.87,,,71575.28,122185.27,,,709.91,,,,4955.48,339.55,,0,,,
6/1/2022,58173.89,3778675.51,12302.34,,,82958.91,22062.21,,,44.04,,,,2625.74,1379.54,,0,,,
6/2/2022,22709.35,1587413.79,26319.68,,,34802.47,12540.7,,,480.39,,,,195.82,1642.09,31.19,0,,,
